"Client Nr","Query Index","Execution time","Error"
1,1,72,0
1,2,9449,0
1,3,,1
1,4,,1
1,5,6303,0
1,6,47,0
1,7,14,0
1,8,446,0
1,9,5606,0
1,10,39,0
1,11,158,0
1,12,75,0
1,13,18,0
1,14,46,0
1,15,49,0
1,16,36,0
1,17,36,0
1,18,8463,0
1,19,,1
1,20,,1
1,21,7731,0
1,22,44,0
1,23,13,0
1,24,341,0
1,25,5601,0
1,26,40,0
1,27,124,0
1,28,70,0
1,29,18,0
1,30,44,0
1,31,40,0
1,32,36,0
1,33,37,0
1,34,8085,0
1,35,,1
1,36,,1
1,37,6419,0
