"Client Nr","Query Index","Execution time","Error"
1,1,66,0
1,2,9367,0
1,3,,1
1,4,,1
1,5,5862,0
1,6,42,0
1,7,12,0
1,8,446,0
1,9,5742,0
1,10,34,0
1,11,131,0
1,12,73,0
1,13,19,0
1,14,43,0
1,15,36,0
1,16,32,0
1,17,33,0
1,18,8042,0
1,19,,1
1,20,,1
1,21,7054,0
1,22,44,0
1,23,13,0
1,24,342,0
1,25,5573,0
1,26,36,0
1,27,142,0
1,28,80,0
1,29,19,0
1,30,41,0
1,31,36,0
1,32,32,0
1,33,33,0
1,34,8066,0
1,35,,1
1,36,,1
1,37,5854,0
1,38,39,0
1,39,12,0
1,40,320,0
