QT, "total send out query", "successfully executed query", "queries output an error message", "currentRun"
QT0, 21, 20, 0, 1
QT0, 14120, 6, 14113, 2
QT0, 21, 20, 0, 3
QT0, 14120, 6, 14113, 4
QT0, 21, 20, 0, 5
QT0, 14117, 3, 14113, 6
