"Client Nr","Query Index","Execution time","Error"
1,1,74,0
1,2,291,0
1,3,19,0
1,4,78,0
1,5,3305,0
1,6,82,0
1,7,43,0
1,8,1538,0
1,9,782,0
1,10,61,0
1,11,4772,0
1,12,1614,0
1,13,21,0
1,14,119,0
1,15,99,0
1,16,50,0
1,17,45,0
1,18,262,0
1,19,18,0
1,20,82,0
