QT, "total send out query", "successfully executed query", "queries output an error message", "currentRun"
QT1, 557, 556, 0, 1
QT1, 565, 564, 0, 2
QT1, 560, 559, 0, 3
QT1, 570, 569, 0, 4
QT1, 570, 569, 0, 5
QT1, 557, 556, 0, 6
QT2, 530, 529, 0, 1
QT2, 530, 529, 0, 2
QT2, 530, 529, 0, 3
QT2, 530, 529, 0, 4
QT2, 530, 529, 0, 5
QT3, 478, 477, 0, 1
QT3, 482, 481, 0, 2
QT3, 478, 477, 0, 3
QT3, 478, 477, 0, 4
QT3, 482, 481, 0, 5
QT3, 482, 481, 0, 6
