"Client Nr","Query Number","Execution time","Error"
6,200,266,0
2,40,757,0
5,160,920,0
27,1038,984,0
1,1,1155,0
3,80,1260,0
16,599,1486,0
18,679,1694,0
10,360,1890,0
31,1198,2081,0
7,240,2235,0
4,120,2353,0
19,719,2497,0
14,519,2592,0
20,759,2790,0
17,639,3002,0
11,400,3168,0
30,1158,3285,0
13,480,3489,0
26,999,3690,0
9,320,3795,0
15,559,3952,0
8,280,4083,0
24,919,4177,0
29,1118,4358,0
12,440,4478,0
22,839,4738,0
23,879,4827,0
28,1078,5088,0
6,201,5354,0
21,799,5372,0
32,1238,5633,0
36,1398,5741,0
25,959,5950,0
35,1358,6082,0
33,1278,6172,0
43,1677,6356,0
40,1557,6539,0
39,1517,6635,0
42,1637,6814,0
37,1438,6946,0
34,1318,7024,0
38,1478,7140,0
41,1597,7380,0
48,1877,7568,0
47,1837,7652,0
45,1757,7775,0
46,1797,7966,0
50,1957,8130,0
44,1717,8354,0
49,1917,8437,0
2,41,8375,0
5,161,8392,0
27,1039,8396,0
1,2,8591,0
3,81,8594,0
31,1199,7898,0
10,361,8296,0
18,680,8594,0
7,241,8291,0
16,600,9195,0
4,121,8488,0
19,720,8486,0
14,520,8582,0
20,760,8494,0
17,640,8383,0
11,401,8387,0
26,1000,8001,0
9,321,8084,0
13,481,8603,0
30,1159,8987,0
8,281,8378,0
15,560,8585,0
24,920,8382,0
29,1119,8405,0
12,441,8468,0
22,840,8385,0
23,880,8477,0
28,1079,8395,0
6,202,8293,0
21,800,8476,0
32,1239,8387,0
36,1399,8398,0
25,960,8495,0
33,1279,8395,0
35,1359,8696,0
43,1678,8581,0
39,1518,8486,0
42,1638,8395,0
40,1558,8890,0
34,1319,8490,0
37,1439,8769,0
38,1479,8778,0
41,1598,8599,0
48,1878,8604,0
47,1838,8698,0
45,1758,8770,0
50,1958,8595,0
46,1798,9077,0
44,1718,8703,0
49,1918,8780,0
2,42,8807,0
5,162,8799,0
27,1040,8800,0
1,3,8705,0
31,1200,8603,0
10,362,8584,0
3,82,9188,0
19,721,8192,0
7,242,8800,0
18,681,9198,0
14,521,8492,0
16,601,9203,0
4,122,9203,0
20,761,8896,0
17,641,8991,0
11,402,8914,0
26,1001,8991,0
30,1160,8596,0
15,561,8410,0
13,482,8996,0
9,322,9406,0
8,282,9007,0
24,921,8998,0
29,1120,8991,0
12,442,9012,0
22,841,8999,0
23,881,9023,0
28,1080,9103,0
6,203,9111,0
21,801,9191,0
32,1240,9118,0
36,1400,9294,0
43,1679,8599,0
35,1360,8982,0
33,1280,9292,0
25,961,9677,0
39,1519,9000,0
37,1440,8602,0
42,1639,9207,0
40,1559,9210,0
34,1320,9284,0
48,1879,8780,0
41,1599,9095,0
38,1480,9403,0
47,1839,9003,0
45,1759,9018,0
50,1959,8996,0
46,1799,9001,0
44,1719,9091,0
49,1919,9102,0
5,163,8812,0
2,43,9204,0
27,1041,9084,0
31,1201,8789,0
3,83,8507,0
1,4,9195,0
19,722,8597,0
7,243,8586,0
16,602,8102,0
18,682,8703,0
10,363,9511,0
14,522,8715,0
4,123,8587,0
20,762,8502,0
17,642,8506,0
30,1161,8112,0
26,1002,8604,0
11,403,8895,0
15,562,8592,0
9,323,8391,0
8,283,8301,0
13,483,8916,0
24,922,8610,0
29,1121,8607,0
12,443,8594,0
22,842,8606,0
23,882,8691,0
28,1081,8588,0
6,204,8514,0
21,802,8406,0
32,1241,8493,0
36,1401,8387,0
35,1361,8205,0
43,1680,8507,0
33,1281,8308,0
25,962,8311,0
37,1441,8097,0
34,1321,7796,0
40,1560,8097,0
42,1640,8403,0
39,1520,8886,0
41,1600,8002,0
38,1481,8002,0
48,1880,8413,0
47,1840,8288,0
45,1760,8193,0
50,1960,8210,0
44,1720,8003,0
46,1800,8307,0
49,1920,8297,0
5,164,8206,0
2,44,8196,0
27,1042,8118,0
3,84,8103,0
31,1202,8400,0
1,5,8310,0
19,723,8318,0
7,244,8400,0
16,603,8491,0
18,683,8406,0
10,364,8494,0
14,523,8592,0
4,124,8608,0
20,763,8686,0
17,643,8598,0
26,1003,8401,0
30,1162,8795,0
15,563,8400,0
9,324,8413,0
11,404,8907,0
8,284,8701,0
13,484,8689,0
24,923,8701,0
29,1122,8699,0
12,444,8795,0
22,843,8790,0
23,883,8696,0
28,1082,8707,0
6,205,8783,0
21,803,8812,0
32,1242,8900,0
35,1362,8606,0
36,1402,8914,0
43,1681,8800,0
33,1282,8790,0
25,963,8706,0
37,1442,8705,0
34,1322,8803,0
40,1561,8803,0
42,1641,8898,0
39,1521,8910,0
41,1601,8989,0
38,1482,8995,0
48,1881,9188,0
47,1841,9021,0
50,1961,8983,0
45,1761,9396,0
44,1721,9092,0
46,1801,9106,0
49,1921,8997,0
2,45,8889,0
5,165,9183,0
27,1043,9085,0
1,6,8795,0
3,85,9293,0
31,1203,9298,0
19,724,9092,0
16,604,8812,0
7,245,9124,0
18,684,8994,0
10,365,8999,0
4,125,8799,0
14,524,9214,0
30,1163,8608,0
17,644,9092,0
15,564,8707,0
26,1004,9197,0
20,764,9621,0
9,325,9090,0
11,405,9100,0
8,285,9095,0
13,485,9092,0
24,924,8994,0
29,1123,8991,0
12,445,8900,0
22,844,8934,0
23,884,8995,0
28,1083,8992,0
6,206,8899,0
21,804,8880,0
35,1363,8611,0
32,1243,8897,0
36,1403,8802,0
43,1682,8891,0
33,1283,8892,0
34,1323,8603,0
37,1443,8986,0
25,964,9294,0
40,1562,9007,0
39,1522,8796,0
41,1602,8708,0
42,1642,9295,0
38,1483,8906,0
48,1882,8723,0
47,1842,8880,0
45,1762,8516,0
50,1962,8915,0
44,1722,8809,0
46,1802,8803,0
2,46,8604,0
49,1922,8991,0
27,1044,8511,0
5,166,8909,0
1,7,8689,0
3,86,8603,0
31,1204,8508,0
19,725,8598,0
16,605,8605,0
7,246,8689,0
10,366,8409,0
18,685,8796,0
4,126,8499,0
30,1164,8279,0
17,645,8301,0
14,525,8784,0
15,565,8401,0
20,765,8280,0
26,1005,8598,0
9,326,8394,0
11,406,8400,0
8,286,8411,0
13,486,8408,0
24,925,8596,0
29,1124,8611,0
12,446,8700,0
22,845,8669,0
23,885,8605,0
28,1084,8603,0
6,207,8700,0
32,1244,8403,0
35,1364,8789,0
21,805,9104,0
43,1683,8609,0
33,1284,8705,0
36,1404,9197,0
34,1324,8808,0
37,1444,9001,0
25,965,8805,0
39,1523,8718,0
