"Client Nr","Query Number","Execution time","Error"
2,57,1090,0
23,1244,1144,0
7,340,1149,0
11,566,1152,0
17,905,1145,0
27,1471,1148,0
25,1357,1159,0
22,1188,1128,0
3,114,1150,0
6,283,1162,0
20,1075,1160,0
18,962,1165,0
13,679,1150,0
15,792,1167,0
8,396,1162,0
26,1414,1159,0
4,170,1164,0
5,227,1160,0
29,1584,1121,0
31,1697,1166,0
21,1131,1123,0
28,1527,1173,0
12,622,1120,0
1,1,1155,0
19,1018,1167,0
24,1301,1080,0
10,509,1099,0
16,849,1088,0
9,453,1105,0
14,736,1118,0
23,1245,63,0
11,567,59,0
7,341,65,0
17,906,65,0
27,1472,60,0
25,1358,64,0
22,1189,65,0
3,115,65,0
6,284,76,0
20,1076,76,0
13,680,73,0
18,963,76,0
15,793,75,0
4,171,76,0
5,228,76,0
8,397,77,0
26,1415,77,0
30,1640,1106,0
12,623,77,0
31,1698,81,0
21,1132,80,0
29,1585,85,0
28,1528,85,0
1,2,85,0
10,510,77,0
19,1019,89,0
16,850,79,0
24,1302,81,0
9,454,84,0
14,737,85,0
23,1246,79,0
38,2092,1125,0
11,568,84,0
7,342,84,0
27,1473,82,0
17,907,84,0
25,1359,86,0
22,1190,86,0
3,116,88,0
6,285,87,0
20,1077,85,0
13,681,86,0
39,2149,1131,0
41,2262,1141,0
32,1753,1129,0
15,794,91,0
26,1416,87,0
18,964,93,0
8,398,91,0
5,229,93,0
4,172,93,0
29,1586,92,0
30,1641,98,0
12,624,97,0
31,1699,95,0
21,1133,95,0
28,1529,92,0
19,1020,95,0
16,851,95,0
10,511,97,0
1,3,105,0
24,1303,96,0
33,1810,1144,0
36,1979,1129,0
42,2319,1127,0
9,455,99,0
14,738,97,0
23,1247,103,0
11,569,100,0
38,2093,101,0
27,1474,95,0
17,908,94,0
7,343,107,0
25,1360,109,0
22,1191,118,0
3,117,117,0
44,2432,1149,0
6,286,120,0
20,1078,120,0
43,2375,1152,0
37,2036,1157,0
13,682,122,0
15,795,116,0
26,1417,119,0
41,2263,122,0
39,2150,123,0
34,1866,1161,0
18,965,121,0
8,399,119,0
32,1754,128,0
5,230,131,0
12,625,126,0
31,1700,127,0
29,1587,129,0
21,1134,126,0
4,173,137,0
30,1642,131,0
28,1530,127,0
10,512,127,0
19,1021,128,0
16,852,129,0
40,2206,1179,0
1,4,129,0
45,2488,1167,0
