"Client Nr","Query Number","Execution time","Error"
12,622,1107,0
17,905,1119,0
18,962,1108,0
13,679,1155,0
1,1,1148,0
8,396,1143,0
14,736,1164,0
29,1584,1144,0
9,453,1145,0
21,1131,1151,0
6,283,1122,0
11,566,1145,0
10,509,1169,0
24,1301,1164,0
15,792,1166,0
28,1527,1151,0
31,1697,1130,0
27,1471,1127,0
26,1414,1148,0
5,227,1164,0
19,1018,1166,0
16,849,1147,0
30,1640,1139,0
2,57,1094,0
4,170,1145,0
3,114,1152,0
7,340,1151,0
20,1075,1048,0
33,1810,1069,0
32,1753,1046,0
25,1357,1048,0
38,2092,1056,0
23,1244,1072,0
22,1188,1057,0
37,2036,1043,0
39,2149,1065,0
40,2206,1066,0
44,2432,1045,0
36,1979,1057,0
34,1866,1062,0
35,1923,1052,0
42,2319,1047,0
41,2262,1074,0
50,2771,1047,0
48,2658,1050,0
43,2375,1063,0
45,2488,1052,0
46,2545,1052,0
49,2714,1081,0
47,2601,1049,0
47,2602,1024,0
43,2376,1043,0
48,2659,1048,0
49,2715,1040,0
45,2489,1046,0
46,2546,1044,0
43,2377,12,0
47,2603,17,0
48,2660,16,0
49,2716,17,0
45,2490,15,0
46,2547,16,0
43,2378,16,0
47,2604,15,0
48,2661,16,0
49,2717,16,0
45,2491,20,0
46,2548,19,0
43,2379,16,0
48,2662,15,0
47,2605,19,0
49,2718,18,0
45,2492,15,0
46,2549,17,0
43,2380,16,0
47,2606,18,0
48,2663,22,0
49,2719,18,0
45,2493,19,0
46,2550,16,0
43,2381,18,0
47,2607,15,0
48,2664,15,0
45,2494,14,0
49,2720,16,0
46,2551,19,0
43,2382,16,0
47,2608,14,0
48,2665,15,0
45,2495,16,0
49,2721,16,0
46,2552,12,0
43,2383,13,0
47,2609,16,0
45,2496,15,0
48,2666,17,0
49,2722,17,0
43,2384,14,0
46,2553,17,0
47,2610,16,0
45,2497,12,0
48,2667,15,0
49,2723,16,0
43,2385,14,0
46,2554,18,0
45,2498,15,0
47,2611,16,0
48,2668,13,0
49,2724,13,0
46,2555,14,0
43,2386,19,0
45,2499,13,0
47,2612,15,0
48,2669,17,0
49,2725,15,0
46,2556,14,0
43,2387,14,0
45,2500,14,0
47,2613,13,0
48,2670,17,0
49,2726,17,0
46,2557,14,0
43,2388,14,0
45,2501,16,0
47,2614,15,0
48,2671,14,0
49,2727,16,0
46,2558,16,0
43,2389,19,0
45,2502,19,0
47,2615,19,0
48,2672,17,0
49,2728,23,0
46,2559,22,0
43,2390,22,0
47,2616,20,0
45,2503,22,0
48,2673,22,0
49,2729,23,0
46,2560,24,0
43,2391,21,0
47,2617,24,0
45,2504,24,0
48,2674,21,0
49,2730,13,0
46,2561,16,0
47,2618,13,0
43,2392,18,0
48,2675,13,0
45,2505,19,0
49,2731,17,0
46,2562,16,0
43,2393,14,0
47,2619,15,0
48,2676,14,0
49,2732,12,0
45,2506,16,0
47,2620,11,0
46,2563,16,0
43,2394,16,0
48,2677,14,0
49,2733,15,0
45,2507,14,0
47,2621,15,0
46,2564,15,0
48,2678,17,0
49,2734,15,0
43,2395,20,0
45,2508,14,0
47,2622,16,0
46,2565,15,0
43,2396,12,0
48,2679,14,0
49,2735,15,0
45,2509,16,0
47,2623,15,0
46,2566,16,0
43,2397,16,0
48,2680,17,0
45,2510,13,0
49,2736,18,0
46,2567,13,0
47,2624,16,0
43,2398,11,0
48,2681,12,0
45,2511,15,0
49,2737,12,0
47,2625,13,0
43,2399,15,0
46,2568,16,0
48,2682,14,0
45,2512,12,0
49,2738,14,0
47,2626,13,0
43,2400,12,0
46,2569,13,0
48,2683,14,0
49,2739,12,0
45,2513,17,0
47,2627,11,0
46,2570,15,0
43,2401,17,0
48,2684,16,0
49,2740,13,0
45,2514,14,0
47,2628,15,0
46,2571,12,0
48,2685,12,0
43,2402,15,0
49,2741,15,0
45,2515,13,0
47,2629,13,0
46,2572,13,0
48,2686,13,0
43,2403,13,0
45,2516,15,0
49,2742,17,0
47,2630,16,0
48,2687,11,0
46,2573,16,0
43,2404,14,0
45,2517,11,0
47,2631,15,0
49,2743,17,0
48,2688,17,0
46,2574,20,0
43,2405,18,0
45,2518,20,0
47,2632,13,0
49,2744,15,0
48,2689,14,0
46,2575,14,0
43,2406,15,0
47,2633,15,0
49,2745,14,0
45,2519,17,0
48,2690,14,0
46,2576,12,0
43,2407,13,0
45,2520,12,0
47,2634,14,0
49,2746,14,0
48,2691,12,0
46,2577,10,0
45,2521,12,0
43,2408,15,0
47,2635,12,0
48,2692,12,0
49,2747,13,0
46,2578,12,0
45,2522,11,0
47,2636,12,0
43,2409,14,0
48,2693,13,0
46,2579,12,0
49,2748,15,0
45,2523,16,0
47,2637,15,0
48,2694,14,0
43,2410,15,0
46,2580,15,0
49,2749,13,0
45,2524,15,0
43,2411,15,0
47,2638,16,0
49,2750,14,0
48,2695,16,0
46,2581,18,0
47,2639,13,0
43,2412,14,0
45,2525,16,0
49,2751,14,0
48,2696,14,0
46,2582,19,0
47,2640,14,0
43,2413,13,0
45,2526,13,0
49,2752,14,0
48,2697,17,0
46,2583,12,0
43,2414,11,0
45,2527,11,0
47,2641,14,0
49,2753,13,0
48,2698,13,0
46,2584,14,0
43,2415,12,0
45,2528,13,0
47,2642,11,0
49,2754,11,0
48,2699,11,0
43,2416,12,0
46,2585,14,0
45,2529,12,0
49,2755,13,0
47,2643,16,0
48,2700,13,0
46,2586,15,0
45,2530,15,0
43,2417,17,0
47,2644,13,0
49,2756,15,0
48,2701,14,0
46,2587,13,0
45,2531,14,0
49,2757,11,0
43,2418,16,0
47,2645,14,0
48,2702,13,0
46,2588,12,0
49,2758,13,0
43,2419,12,0
45,2532,15,0
47,2646,15,0
48,2703,14,0
46,2589,12,0
49,2759,13,0
43,2420,15,0
45,2533,16,0
47,2647,14,0
46,2590,10,0
48,2704,17,0
49,2760,14,0
43,2421,12,0
47,2648,12,0
45,2534,12,0
48,2705,11,0
46,2591,14,0
43,2422,14,0
45,2535,13,0
49,2761,17,0
47,2649,15,0
48,2706,15,0
46,2592,17,0
43,2423,12,0
45,2536,13,0
49,2762,13,0
47,2650,13,0
46,2593,10,0
48,2707,15,0
43,2424,12,0
47,2651,11,0
45,2537,14,0
49,2763,14,0
46,2594,12,0
48,2708,12,0
43,2425,13,0
47,2652,11,0
49,2764,13,0
45,2538,16,0
46,2595,13,0
48,2709,12,0
43,2426,11,0
47,2653,12,0
49,2765,11,0
45,2539,12,0
46,2596,12,0
48,2710,13,0
43,2427,13,0
47,2654,13,0
45,2540,11,0
48,2711,13,0
49,2766,18,0
46,2597,17,0
47,2655,14,0
43,2428,20,0
48,2712,11,0
49,2767,12,0
45,2541,17,0
46,2598,17,0
47,2656,14,0
43,2429,13,0
48,2713,13,0
45,2542,11,0
49,2768,14,0
46,2599,12,0
47,2657,13,0
43,2430,11,0
45,2543,13,0
49,2769,11,0
48,2714,16,0
46,2600,13,0
43,2431,12,0
47,2658,13,0
45,2544,11,0
49,2770,14,0
46,2601,13,0
48,2715,19,0
43,2432,17,0
47,2659,17,0
49,2771,14,0
45,2545,18,0
48,2716,17,0
46,2602,20,0
43,2433,15,0
47,2660,15,0
49,2772,14,0
45,2546,19,0
48,2717,12,0
46,2603,11,0
43,2434,11,0
47,2661,15,0
49,2773,15,0
45,2547,12,0
46,2604,12,0
48,2718,14,0
43,2435,14,0
47,2662,12,0
49,2774,14,0
45,2548,12,0
48,2719,14,0
43,2436,12,0
46,2605,16,0
47,2663,11,0
49,2775,15,0
45,2549,17,0
48,2720,13,0
43,2437,16,0
47,2664,15,0
46,2606,17,0
49,2776,13,0
45,2550,12,0
48,2721,14,0
47,2665,11,0
43,2438,16,0
46,2607,14,0
49,2777,15,0
45,2551,12,0
48,2722,11,0
47,2666,17,0
43,2439,13,0
49,2778,10,0
46,2608,15,0
45,2552,17,0
48,2723,17,0
47,2667,16,0
46,2609,16,0
43,2440,20,0
49,2779,20,0
45,2553,12,0
48,2724,14,0
47,2668,11,0
46,2610,12,0
49,2780,12,0
43,2441,14,0
45,2554,14,0
48,2725,10,0
47,2669,13,0
46,2611,14,0
49,2781,15,0
43,2442,15,0
45,2555,15,0
48,2726,16,0
47,2670,14,0
46,2612,15,0
49,2782,14,0
45,2556,15,0
43,2443,16,0
48,2727,15,0
47,2671,15,0
46,2613,14,0
49,2783,13,0
45,2557,12,0
43,2444,13,0
48,2728,13,0
47,2672,13,0
46,2614,14,0
49,2784,13,0
45,2558,13,0
43,2445,12,0
48,2729,12,0
47,2673,9,0
46,2615,13,0
49,2785,12,0
45,2559,13,0
48,2730,11,0
43,2446,13,0
47,2674,12,0
49,2786,11,0
48,2731,12,0
46,2616,14,0
43,2447,11,0
45,2560,14,0
47,2675,13,0
49,2787,12,0
46,2617,12,0
48,2732,12,0
45,2561,11,0
47,2676,12,0
43,2448,16,0
49,2788,12,0
48,2733,11,0
46,2618,13,0
45,2562,13,0
47,2677,14,0
43,2449,12,0
49,2789,13,0
48,2734,13,0
45,2563,12,0
46,2619,14,0
47,2678,21,0
43,2450,22,0
48,2735,20,0
49,2790,24,0
45,2564,23,0
