"Client Nr","Query Number","Execution time","Error"
5,38,491,0
9,76,702,0
3,19,842,0
2,10,1122,0
12,104,1333,0
10,86,1912,0
14,123,2448,0
19,171,2570,0
13,114,2841,0
20,180,2947,0
16,142,3154,0
11,95,3286,0
8,67,3386,0
1,1,3507,0
15,133,3600,0
6,48,3804,0
7,57,3924,0
17,152,4107,0
4,29,4255,0
18,161,4414,0
5,39,4298,0
9,77,4304,0
3,20,4307,0
2,11,4322,0
12,105,4350,0
10,87,4439,0
14,124,4228,0
19,172,4295,0
13,115,4159,0
20,181,4207,0
16,143,4170,0
1,2,3933,0
15,134,3841,0
11,96,4452,0
6,49,3996,0
8,68,4602,0
18,162,3728,0
7,58,4300,0
17,153,4343,0
4,30,4330,0
5,40,4194,0
9,78,4197,0
3,21,4204,0
2,12,4254,0
12,106,4245,0
10,88,4296,0
14,125,4068,0
19,173,4104,0
13,116,4084,0
16,144,3943,0
20,182,4227,0
1,3,4022,0
15,135,4093,0
11,97,4078,0
6,50,4078,0
18,163,3997,0
8,69,4363,0
7,59,4195,0
17,154,4131,0
4,31,4164,0
5,41,4183,0
9,79,4188,0
3,22,4184,0
2,13,4207,0
12,107,4294,0
14,126,4094,0
19,174,4034,0
10,89,4566,0
16,145,4131,0
13,117,4440,0
20,183,4312,0
1,4,4267,0
6,51,3930,0
15,136,4338,0
11,98,4403,0
18,164,4119,0
7,60,3989,0
8,70,4292,0
17,155,4143,0
4,32,4150,0
5,42,4164,0
9,80,4134,0
3,23,4115,0
2,14,4153,0
12,108,4068,0
19,175,3806,0
14,127,4184,0
10,90,4031,0
16,146,4035,0
20,184,3867,0
6,52,3726,0
1,5,3993,0
13,118,4441,0
15,137,4058,0
11,99,3974,0
18,165,4022,0
7,61,3993,0
8,71,3990,0
17,156,4026,0
4,33,4086,0
5,43,4092,0
9,81,4030,0
3,24,4101,0
2,15,4124,0
12,109,4385,0
19,176,4016,0
14,128,4032,0
10,91,3943,0
16,147,3962,0
1,6,3723,0
13,119,3718,0
15,138,3701,0
6,53,4304,0
20,185,4482,0
11,100,4037,0
18,166,4015,0
7,62,4092,0
8,72,4102,0
17,157,4129,0
4,34,4123,0
5,44,4134,0
9,82,4147,0
3,25,4068,0
2,16,4032,0
12,110,4157,0
19,177,4130,0
16,148,3713,0
6,54,3281,0
14,129,4544,0
15,139,3884,0
10,92,4673,0
1,7,4424,0
13,120,4399,0
20,186,4138,0
11,101,4052,0
18,167,4086,0
7,63,4176,0
8,73,4130,0
17,158,4209,0
4,35,4180,0
5,45,4149,0
9,83,4126,0
3,26,4187,0
2,17,4269,0
12,111,4199,0
6,55,3887,0
19,178,4344,0
16,149,4285,0
15,140,4003,0
10,93,4002,0
1,8,3987,0
13,121,4089,0
20,187,4057,0
14,130,4799,0
11,102,4143,0
18,168,4208,0
7,64,4136,0
8,74,4189,0
17,159,4076,0
4,36,4143,0
5,46,4162,0
9,84,4205,0
3,27,4188,0
2,18,4111,0
12,112,4107,0
19,179,3945,0
6,56,4216,0
16,150,4258,0
13,122,3620,0
15,141,4256,0
1,9,4120,0
14,131,3872,0
20,188,4117,0
11,103,4064,0
10,94,4807,0
18,169,4194,0
7,65,4150,0
8,75,4250,0
17,160,4207,0
4,37,4159,0
5,47,4144,0
9,85,4119,0
3,28,4158,0
2,19,4083,0
12,113,4091,0
19,180,4049,0
6,57,4083,0
16,151,3999,0
13,123,4110,0
14,132,3766,0
11,104,3616,0
20,189,3890,0
15,142,4468,0
1,10,4462,0
10,95,4136,0
18,170,4055,0
7,66,4114,0
8,76,3959,0
17,161,4046,0
4,38,4078,0
5,48,4094,0
9,86,4092,0
3,29,4128,0
2,20,4241,0
12,114,4085,0
19,181,4060,0
6,58,4161,0
14,133,3844,0
16,152,4330,0
13,124,4288,0
20,1,4118,0
15,143,4138,0
1,11,4204,0
11,105,4671,0
10,96,4232,0
18,171,4204,0
7,67,4204,0
8,77,4255,0
17,162,4227,0
4,39,4210,0
5,49,4205,0
9,87,4216,0
3,30,4213,0
2,21,4319,0
12,115,4128,0
19,182,4156,0
14,134,3835,0
6,59,4228,0
16,153,4003,0
13,125,3969,0
15,144,3772,0
20,2,4093,0
1,12,3870,0
11,106,3913,0
10,97,4029,0
18,172,4093,0
7,68,4089,0
8,78,4050,0
17,163,4102,0
4,40,4120,0
5,50,4121,0
9,88,4162,0
3,31,4154,0
2,22,4213,0
12,116,4177,0
19,183,4149,0
14,135,4175,0
16,154,4052,0
6,60,4349,0
13,126,4193,0
15,145,4133,0
20,3,4155,0
1,13,4135,0
11,107,4190,0
10,98,4163,0
18,173,4109,0
7,69,4143,0
8,79,4100,0
17,164,4056,0
4,41,4055,0
5,51,4047,0
9,89,4012,0
3,32,3995,0
2,23,3939,0
12,117,4012,0
19,184,3999,0
14,136,3900,0
16,155,3893,0
13,127,3914,0
20,4,3699,0
15,146,4025,0
6,61,4428,0
1,14,3993,0
11,108,4016,0
10,99,4013,0
18,174,4102,0
7,70,4020,0
8,80,4108,0
17,165,4097,0
4,42,4106,0
5,52,4123,0
9,90,4114,0
3,33,4153,0
2,24,4136,0
