QT, "total send out query", "successfully executed query", "queries output an error message", "currentRun"
QT1, 280, 279, 0, 1
QT1, 284, 283, 0, 2
QT1, 285, 284, 0, 3
QT1, 285, 284, 0, 4
QT1, 285, 284, 0, 5
QT1, 269, 268, 0, 6
QT2, 281, 280, 0, 1
QT2, 239, 238, 0, 2
QT2, 281, 280, 0, 3
QT2, 237, 236, 0, 4
QT2, 284, 283, 0, 5
QT2, 239, 238, 0, 6
QT3, 255, 254, 0, 1
QT3, 255, 254, 0, 2
QT3, 257, 256, 0, 3
QT3, 255, 254, 0, 4
QT3, 257, 256, 0, 5
QT3, 257, 256, 0, 6
