QT, "total send out query", "successfully executed query", "queries output an error message", "currentRun"
QT1, 433, 432, 0, 1
QT1, 433, 432, 0, 2
QT1, 436, 435, 0, 3
QT1, 431, 430, 0, 4
QT1, 432, 431, 0, 5
QT1, 436, 435, 0, 6
QT2, 366, 365, 0, 1
QT2, 375, 374, 0, 2
QT2, 366, 365, 0, 3
QT2, 366, 365, 0, 4
QT2, 366, 365, 0, 5
QT2, 366, 365, 0, 6
QT3, 350, 349, 0, 1
QT3, 352, 351, 0, 2
QT3, 352, 351, 0, 3
QT3, 349, 348, 0, 4
QT3, 350, 349, 0, 5
QT3, 350, 349, 0, 6
