QT, "total send out query", "successfully executed query", "queries output an error message", "currentRun"
QT1, 335, 334, 0, 1
QT1, 339, 338, 0, 2
QT1, 339, 338, 0, 3
QT1, 339, 338, 0, 4
QT1, 339, 338, 0, 5
QT1, 339, 338, 0, 6
QT2, 345, 344, 0, 1
QT2, 348, 347, 0, 2
QT2, 348, 347, 0, 3
QT2, 345, 344, 0, 4
QT2, 345, 344, 0, 5
QT3, 313, 312, 0, 1
QT3, 313, 312, 0, 2
QT3, 313, 312, 0, 3
QT3, 313, 312, 0, 4
QT3, 313, 312, 0, 5
QT3, 313, 312, 0, 6
