QT3, 14109, 14099, 0, 1
QT3, 14228, 14218, 0, 1
QT3, 14126, 14116, 0, 1
QT3, 14108, 14098, 0, 1
QT3, 14111, 14101, 0, 1
QT3, 14129, 14119, 0, 1
QT5, 2251, 2241, 0, 1
QT5, 2277, 2267, 0, 1
QT5, 2312, 2302, 0, 1
QT5, 2146, 2136, 0, 1
QT5, 2250, 2240, 0, 1
QT5, 2260, 2250, 0, 1
QT9, 2140, 2130, 0, 1
QT9, 2146, 2136, 0, 1
QT9, 2139, 2129, 0, 1
QT9, 2130, 2120, 0, 1
QT9, 2148, 2138, 0, 1
QT9, 2145, 2135, 0, 1
QT10, 141, 131, 0, 1
QT10, 140, 130, 0, 1
QT10, 142, 132, 0, 1
QT10, 141, 131, 0, 1
QT10, 142, 132, 0, 1
QT10, 141, 131, 0, 1
QT11, 405, 395, 0, 1
QT11, 401, 391, 0, 1
QT11, 401, 391, 0, 1
QT11, 406, 396, 0, 1
QT11, 402, 392, 0, 1
QT11, 406, 396, 0, 1
