"Client Nr","Query Number","Execution time","Error"
2,334,700,0
1,1,1003,0
10,3001,2528,0
11,3334,2982,0
3,667,3553,0
5,1334,3805,0
8,2334,4053,0
7,2001,4291,0
12,3667,4552,0
4,1001,4861,0
6,1667,5144,0
13,4001,5561,0
14,4334,6852,0
9,2667,7298,0
15,4667,7771,0
2,335,7451,0
1,2,7423,0
10,3002,6128,0
11,3335,6170,0
3,668,6157,0
5,1335,6185,0
8,2335,6205,0
7,2002,7138,0
12,3668,7342,0
4,1002,7532,0
6,1668,7524,0
13,4002,7363,0
14,4335,6344,0
9,2668,6338,0
1,3,5792,0
2,336,6350,0
15,4668,6905,0
10,3003,7210,0
11,3336,7249,0
3,669,7176,0
5,1336,7164,0
8,2336,7153,0
7,2003,6232,0
12,3669,6244,0
13,4003,5686,0
6,1669,6229,0
4,1003,6772,0
14,4336,7093,0
9,2669,7108,0
1,4,7108,0
2,337,7103,0
15,4669,7113,0
10,3004,6256,0
11,3337,6218,0
8,2337,5780,0
5,1337,6301,0
3,670,6840,0
7,2004,7164,0
12,3670,7167,0
13,4004,7169,0
6,1670,7197,0
4,1004,7204,0
14,4337,6336,0
9,2670,6344,0
15,4670,5771,0
2,338,6353,0
1,5,6962,0
10,3005,7197,0
11,3338,7160,0
8,2338,7096,0
5,1338,7113,0
3,671,7113,0
7,2005,6258,0
12,3671,6270,0
4,1005,5707,0
6,1671,6263,0
13,4005,6879,0
14,4338,7101,0
9,2671,7073,0
15,4671,7054,0
2,339,7037,0
1,6,6981,0
10,3006,6168,0
11,3339,6193,0
3,672,5669,0
5,1339,6227,0
8,2339,6774,0
7,2006,7102,0
12,3672,7095,0
4,1006,7086,0
6,1672,7089,0
13,4006,7044,0
14,4339,6243,0
9,2672,6260,0
1,7,5753,0
2,340,6273,0
15,4672,6787,0
10,3007,7083,0
11,3340,7053,0
3,673,7040,0
5,1340,7035,0
8,2340,7038,0
7,2007,6177,0
12,3673,6179,0
13,4007,5636,0
6,1673,6190,0
4,1007,6743,0
14,4340,7072,0
9,2673,7045,0
1,8,7013,0
2,341,7036,0
15,4673,7064,0
10,3008,6229,0
11,3341,6267,0
8,2341,5733,0
5,1341,6293,0
3,674,6853,0
7,2008,7146,0
12,3674,7136,0
13,4008,7122,0
6,1674,7118,0
4,1008,7111,0
14,4341,6229,0
9,2674,6312,0
15,4674,5761,0
2,342,6294,0
1,9,6828,0
10,3009,7118,0
11,3342,7090,0
8,2342,7063,0
5,1342,7057,0
3,675,7052,0
7,2009,6192,0
12,3675,6197,0
4,1009,5668,0
6,1675,6193,0
13,4009,6737,0
