"Client Nr","Query Number","Execution time","Error"
2,334,730,0
1,1,1028,0
3,667,2591,0
12,3667,3000,0
6,1667,3329,0
7,2001,3646,0
9,2667,3898,0
8,2334,4367,0
11,3334,4815,0
10,3001,5079,0
5,1334,5366,0
4,1001,5685,0
14,4334,6987,0
13,4001,7498,0
15,4667,7776,0
2,335,7449,0
1,2,7432,0
3,668,6376,0
12,3668,6406,0
6,1668,6432,0
7,2002,6403,0
9,2668,6490,0
8,2335,7330,0
11,3335,7331,0
10,3002,7353,0
5,1335,7326,0
4,1002,7279,0
14,4335,6407,0
13,4002,6364,0
15,4668,6339,0
2,336,6444,0
1,3,6441,0
3,669,7257,0
12,3669,7231,0
6,1669,7225,0
7,2003,7217,0
9,2669,7155,0
8,2336,6339,0
11,3336,6363,0
10,3003,6402,0
5,1336,6405,0
4,1003,6402,0
14,4336,7238,0
13,4003,7251,0
15,4669,7260,0
2,337,7163,0
1,4,7158,0
3,670,6311,0
12,3670,6319,0
6,1670,6323,0
7,2004,6326,0
9,2670,6328,0
8,2337,7208,0
11,3337,7191,0
10,3004,7162,0
5,1337,7165,0
4,1004,7180,0
14,4337,6344,0
13,4004,6364,0
15,4670,6368,0
2,338,6368,0
1,5,6389,0
3,671,7210,0
12,3671,7203,0
6,1671,7201,0
7,2005,7195,0
9,2671,7189,0
8,2338,6302,0
11,3338,6313,0
10,3005,6306,0
5,1338,6310,0
4,1005,6309,0
14,4338,7138,0
13,4005,7123,0
15,4671,7118,0
2,339,7123,0
1,6,7109,0
3,672,6286,0
12,3672,6300,0
6,1672,6293,0
7,2006,6305,0
9,2672,6304,0
8,2339,7195,0
11,3339,7183,0
10,3006,7187,0
5,1339,7171,0
4,1006,7166,0
14,4339,6334,0
13,4006,6331,0
15,4672,6325,0
2,340,6326,0
1,7,6321,0
3,673,7169,0
12,3673,7145,0
6,1673,7146,0
7,2007,7127,0
9,2673,7114,0
8,2340,6221,0
11,3340,6222,0
10,3007,6210,0
5,1340,6198,0
4,1007,6196,0
14,4340,7085,0
13,4007,7077,0
15,4673,7090,0
2,341,7090,0
1,8,7100,0
3,674,6248,0
12,3674,6264,0
6,1674,6263,0
7,2008,6267,0
9,2674,6278,0
8,2341,7131,0
11,3341,7135,0
10,3008,7131,0
5,1341,7140,0
4,1008,7124,0
14,4341,6226,0
13,4008,6239,0
15,4674,6224,0
2,342,6212,0
1,9,6204,0
3,675,7139,0
12,3675,7100,0
6,1675,7083,0
7,2009,7067,0
9,2675,7058,0
8,2342,6197,0
11,3342,6188,0
10,3009,6185,0
5,1342,6184,0
4,1009,6198,0
