"Client Nr","Query Number","Execution time","Error"
1,1,502,0
2,5,997,0
7,29,1168,0
6,24,1568,0
10,43,2956,0
9,38,3088,0
19,86,3202,0
17,76,3484,0
29,133,3673,0
20,90,3859,0
11,48,3984,0
18,81,4155,0
30,138,4271,0
27,123,4462,0
21,95,4586,0
3,10,4917,0
12,52,5066,0
24,109,5122,0
25,114,5319,0
28,128,5409,0
5,19,5592,0
22,100,5670,0
8,34,5782,0
13,57,6050,0
26,119,6110,0
14,62,6256,0
4,15,6407,0
16,71,6514,0
15,67,6609,0
23,104,6736,0
33,152,6894,0
40,185,7085,0
35,161,7210,0
38,175,7294,0
36,166,7549,0
31,142,7663,0
37,171,7785,0
1,2,8022,0
39,180,8144,0
32,147,8356,0
34,156,8486,0
2,6,8340,0
7,30,8334,0
6,25,8271,0
10,44,8082,0
9,39,8173,0
19,87,8193,0
11,49,7814,0
30,139,7702,0
17,77,8691,0
20,91,8429,0
27,124,7971,0
29,134,8883,0
18,82,8551,0
21,96,8258,0
12,53,7937,0
3,11,8231,0
28,129,7912,0
25,115,8112,0
24,110,8393,0
22,101,7943,0
5,20,8182,0
16,72,7403,0
13,58,7988,0
15,68,7540,0
8,35,8550,0
14,63,8203,0
26,120,8442,0
4,16,8338,0
23,105,8112,0
40,186,7790,0
33,153,8159,0
36,167,7654,0
35,162,8186,0
38,176,8175,0
31,143,7998,0
37,172,8164,0
1,3,8098,0
39,181,8136,0
32,148,8006,0
34,157,8170,0
2,7,8160,0
7,31,8187,0
6,26,8186,0
10,45,8203,0
9,40,8096,0
19,88,8397,0
30,140,8060,0
18,83,7483,0
20,92,8038,0
17,78,8343,0
11,50,8832,0
27,125,8290,0
29,135,8335,0
21,97,8305,0
12,54,8183,0
3,12,8149,0
25,116,7986,0
28,130,8237,0
24,111,8160,0
22,102,8224,0
5,21,8263,0
16,73,8200,0
13,59,8167,0
8,36,7989,0
15,69,8315,0
14,64,8195,0
26,121,8247,0
4,17,8280,0
36,168,7712,0
23,106,8336,0
35,163,7848,0
40,187,8525,0
33,154,8524,0
38,177,8193,0
31,144,8260,0
37,173,8140,0
1,4,8222,0
39,182,8121,0
32,149,8171,0
34,158,8193,0
2,8,8165,0
7,32,8222,0
6,27,8338,0
10,46,8076,0
9,41,8290,0
19,89,8183,0
18,84,7880,0
20,93,7890,0
17,79,7861,0
30,141,8444,0
11,51,8011,0
27,126,8012,0
29,136,8035,0
21,98,7999,0
12,55,8051,0
3,13,8091,0
28,131,7954,0
25,117,8201,0
24,112,8056,0
22,103,8053,0
13,60,7832,0
5,22,8179,0
14,65,7644,0
8,37,8081,0
16,74,8483,0
15,70,8197,0
4,18,7960,0
36,169,7962,0
23,107,7937,0
26,122,8452,0
35,164,8059,0
40,188,8033,0
33,155,7982,0
38,178,8039,0
31,145,7984,0
37,174,8055,0
1,5,8011,0
39,183,8092,0
32,150,8111,0
34,159,8092,0
2,9,8080,0
7,33,8060,0
6,28,8159,0
10,47,8264,0
19,90,7935,0
9,42,8392,0
20,94,7912,0
18,85,8176,0
17,80,8067,0
30,142,8072,0
11,52,8056,0
27,127,8183,0
29,137,8198,0
21,99,8157,0
12,56,8149,0
28,132,8055,0
3,14,8326,0
25,118,8191,0
24,113,8161,0
13,61,7971,0
22,104,8353,0
14,66,8028,0
5,23,8281,0
8,38,8213,0
16,75,8157,0
15,71,8162,0
36,170,8012,0
23,108,8053,0
4,19,8378,0
35,165,8029,0
40,189,8012,0
26,123,8517,0
33,156,8310,0
38,179,8341,0
31,146,8354,0
37,175,8328,0
1,6,8313,0
39,184,8307,0
32,151,8352,0
34,160,8334,0
2,10,8329,0
7,34,8333,0
6,29,8363,0
10,48,8416,0
19,91,8284,0
9,43,8326,0
20,95,8295,0
18,86,8343,0
17,81,8348,0
30,143,8382,0
11,53,8344,0
27,128,8221,0
29,138,8238,0
21,100,8186,0
25,119,7783,0
12,57,8442,0
3,15,8181,0
28,133,8474,0
24,114,8250,0
13,62,8345,0
14,67,8155,0
22,105,8416,0
5,24,8334,0
8,39,8222,0
16,76,8270,0
36,171,8113,0
23,109,8103,0
15,72,8597,0
4,20,8325,0
35,166,8364,0
40,1,8377,0
26,124,8358,0
33,157,8351,0
38,180,8330,0
31,147,8346,0
37,176,8353,0
1,7,8344,0
39,185,8347,0
32,152,8376,0
34,161,8375,0
2,11,8400,0
7,35,8567,0
6,30,8553,0
10,49,8353,0
20,96,8000,0
19,92,8416,0
9,44,8404,0
30,144,7978,0
17,82,8352,0
18,87,8663,0
11,54,8318,0
27,129,8427,0
29,139,8357,0
21,101,8388,0
28,134,7929,0
3,16,8164,0
12,58,8408,0
25,120,8710,0
24,115,8210,0
5,25,7783,0
14,68,8259,0
13,63,8474,0
22,106,8317,0
8,40,8198,0
16,77,8306,0
15,73,8051,0
36,172,8463,0
23,110,8420,0
4,21,8221,0
35,167,8210,0
40,2,8301,0
26,125,8239,0
33,158,8280,0
38,181,8272,0
31,148,8256,0
37,177,8258,0
1,8,8278,0
39,186,8257,0
32,153,8263,0
34,162,8227,0
2,12,8382,0
7,36,8385,0
