"Client Nr","Query Index","Execution time","Error"
1,1,81,0
1,2,12194,0
1,3,18,0
1,4,295,0
1,5,22905,0
1,6,212,0
1,7,34,0
1,8,1719,0
1,9,7662,0
1,10,37,0
1,11,5070,0
1,12,1732,0
1,13,22,0
1,14,52,0
1,15,62,0
1,16,30,0
1,17,26,0
