QT, "total send out query", "successfully executed query", "queries output an error message", "currentRun"
QT1, 771, 770, 0, 1
QT1, 771, 770, 0, 2
QT1, 758, 757, 0, 3
QT1, 771, 770, 0, 4
QT1, 775, 774, 0, 5
QT1, 776, 775, 0, 6
QT2, 739, 738, 0, 1
QT2, 741, 740, 0, 2
QT2, 738, 737, 0, 3
QT2, 739, 738, 0, 4
QT2, 739, 738, 0, 5
QT2, 739, 738, 0, 6
QT3, 680, 679, 0, 1
QT3, 680, 679, 0, 2
QT3, 680, 679, 0, 3
QT3, 680, 679, 0, 4
QT3, 680, 679, 0, 5
QT3, 680, 679, 0, 6
