QT, "total send out query", "successfully executed query", "queries output an error message", "currentRun"
QT1, 356, 355, 0, 1
QT1, 361, 360, 0, 2
QT1, 372, 371, 0, 3
QT1, 362, 361, 0, 4
QT1, 362, 361, 0, 5
QT1, 372, 371, 0, 6
QT2, 367, 366, 0, 1
QT2, 382, 381, 0, 2
QT2, 393, 392, 0, 3
QT2, 382, 381, 0, 4
QT2, 382, 381, 0, 5
QT3, 322, 321, 0, 1
QT3, 322, 321, 0, 2
QT3, 322, 321, 0, 3
QT3, 322, 321, 0, 4
QT3, 322, 321, 0, 5
QT3, 322, 321, 0, 6
