"Client Nr","Query Number","Execution time","Error"
1,1,639,0
3,1001,1051,0
2,501,2378,0
5,2001,3058,0
9,4001,3302,0
6,2501,3544,0
8,3501,3842,0
10,4501,4150,0
7,3001,4401,0
4,1501,4660,0
1,2,4347,0
3,1002,4420,0
2,502,4520,0
5,2002,4277,0
9,4002,4291,0
6,2502,4313,0
8,3502,4271,0
10,4502,4239,0
7,3002,4251,0
4,1502,4328,0
1,3,4567,0
3,1003,4789,0
5,2003,4066,0
9,4003,4054,0
6,2503,4046,0
8,3503,4043,0
10,4503,4040,0
2,503,5905,0
7,3003,4395,0
4,1503,4461,0
1,4,4570,0
3,1004,4460,0
5,2004,4286,0
9,4004,4290,0
6,2504,4294,0
8,3504,4308,0
10,4504,4327,0
2,504,4254,0
7,3004,4346,0
4,1504,4538,0
1,5,4526,0
3,1005,4531,0
5,2005,4341,0
9,4005,4352,0
6,2505,4362,0
8,3505,4355,0
10,4505,4316,0
2,505,4278,0
7,3005,4233,0
4,1505,4430,0
1,6,4447,0
3,1006,4437,0
5,2006,4242,0
9,4006,4234,0
6,2506,4224,0
8,3506,4211,0
10,4506,4243,0
2,506,4271,0
7,3006,4293,0
4,1506,4531,0
1,7,4523,0
3,1007,4521,0
5,2007,4363,0
9,4007,4366,0
6,2507,4365,0
8,3507,4364,0
10,4507,4353,0
2,507,4345,0
7,3007,4359,0
4,1507,4588,0
1,8,4616,0
3,1008,4441,0
5,2008,4292,0
9,4008,4357,0
6,2508,4341,0
8,3508,4327,0
10,4508,4329,0
2,508,4353,0
7,3008,4494,0
4,1508,4616,0
1,9,4375,0
3,1009,4212,0
5,2009,4199,0
9,4009,4128,0
6,2509,4142,0
8,3509,4164,0
10,4509,4230,0
2,509,4473,0
7,3009,4570,0
4,1509,4347,0
1,10,4196,0
3,1010,4201,0
5,2010,4230,0
9,4010,4216,0
6,2510,4206,0
8,3510,4283,0
10,4510,4351,0
2,510,4447,0
7,3010,4463,0
4,1510,4282,0
1,11,4288,0
3,1011,4292,0
5,2011,4266,0
9,4011,4287,0
6,2511,4303,0
8,3511,4344,0
10,4511,4500,0
2,511,4518,0
7,3011,4522,0
4,1511,4401,0
1,12,4373,0
3,1012,4351,0
5,2012,4332,0
9,4012,4321,0
6,2512,4323,0
8,3512,4260,0
10,4512,4512,0
2,512,4514,0
7,3012,4507,0
4,1512,4251,0
1,13,4275,0
3,1013,4296,0
5,2013,4314,0
9,4013,4326,0
6,2513,4326,0
8,3513,4341,0
10,4513,4633,0
2,513,4602,0
7,3013,4592,0
4,1513,4428,0
1,14,4430,0
3,1014,4429,0
5,2014,4431,0
9,4014,4425,0
6,2514,4457,0
