"Client Nr","Query Number","Execution time","Error"
1,1,800,0
3,26,907,0
4,38,1090,0
5,51,1226,0
2,13,1444,0
7,76,1537,0
8,89,1732,0
6,64,1905,0
9,101,2494,0
14,164,2618,0
10,114,2775,0
13,152,2947,0
12,139,3098,0
11,127,3290,0
15,177,3391,0
1,2,3194,0
3,27,3262,0
2,14,2860,0
4,39,3336,0
5,52,3374,0
7,77,3246,0
8,90,3233,0
6,65,3378,0
9,102,3097,0
14,165,3136,0
10,115,3033,0
13,153,3109,0
11,128,2946,0
12,140,3319,0
15,178,3138,0
1,3,3121,0
4,40,2836,0
5,53,2827,0
3,28,3376,0
2,15,3425,0
7,78,3040,0
8,91,3062,0
6,66,3148,0
9,103,3068,0
10,116,2928,0
14,166,3164,0
13,154,3043,0
11,129,3044,0
12,141,3142,0
15,179,3196,0
1,4,3173,0
4,41,3153,0
5,54,3131,0
3,29,3155,0
2,16,3206,0
7,79,3203,0
8,92,3308,0
6,67,3264,0
9,104,3141,0
10,117,3165,0
13,155,3029,0
14,167,3383,0
11,130,3177,0
12,142,3151,0
15,180,3295,0
4,42,3005,0
1,5,3276,0
5,55,3094,0
3,30,3129,0
2,17,3072,0
7,80,3162,0
8,93,3181,0
6,68,3116,0
9,105,3148,0
13,156,2935,0
10,118,3267,0
14,168,3059,0
11,131,3099,0
12,143,3101,0
15,181,3121,0
4,43,3009,0
1,6,3036,0
5,56,3104,0
3,31,3044,0
2,18,3060,0
7,81,2997,0
8,94,2990,0
6,69,2979,0
9,106,2936,0
13,157,2994,0
10,119,3025,0
14,169,3028,0
11,132,3012,0
12,144,3044,0
4,44,2778,0
15,182,3111,0
1,7,2941,0
5,57,2978,0
3,32,3055,0
2,19,3021,0
7,82,3110,0
8,95,3056,0
6,70,3018,0
9,107,3032,0
13,158,3027,0
10,120,2997,0
14,170,3068,0
11,133,3159,0
12,145,3161,0
4,45,3037,0
15,183,3129,0
1,8,3088,0
5,58,3073,0
3,33,3093,0
2,20,3054,0
7,83,3305,0
8,96,3092,0
6,71,3054,0
10,121,2905,0
9,108,3234,0
13,159,3211,0
14,171,3075,0
11,134,3028,0
12,146,3068,0
4,46,3067,0
15,184,3056,0
1,9,3075,0
5,59,3002,0
3,34,3029,0
2,21,3068,0
7,84,2931,0
8,97,3078,0
9,109,2724,0
10,122,2837,0
6,72,3261,0
13,160,3078,0
14,172,3131,0
11,135,3185,0
12,147,3191,0
4,47,3139,0
15,185,3133,0
1,10,3188,0
5,60,3194,0
3,35,3168,0
2,22,3323,0
7,85,3174,0
8,98,3212,0
9,110,3132,0
10,123,3227,0
6,73,3201,0
13,161,3167,0
14,173,3148,0
11,136,3068,0
12,148,2962,0
4,48,3027,0
15,186,2989,0
1,11,2919,0
5,61,2980,0
3,36,3014,0
2,23,2966,0
7,86,2986,0
8,99,2860,0
9,111,2954,0
10,124,2996,0
6,74,3005,0
13,162,2992,0
14,174,3065,0
11,137,3127,0
12,149,3114,0
4,49,3174,0
15,187,3084,0
1,12,3129,0
5,62,3217,0
3,37,3192,0
2,24,3180,0
7,87,3221,0
8,100,3227,0
9,112,3150,0
10,125,3141,0
6,75,3182,0
13,163,3177,0
14,175,3125,0
11,138,3112,0
12,150,3112,0
4,50,3103,0
15,188,3129,0
1,13,3201,0
5,63,3129,0
3,38,3136,0
2,25,3027,0
7,88,2992,0
8,101,3056,0
9,113,3076,0
10,126,3071,0
6,76,3023,0
13,164,3025,0
14,176,3069,0
11,139,3009,0
12,151,3015,0
4,51,2923,0
15,189,3030,0
1,14,2984,0
5,64,3014,0
3,39,2969,0
2,26,2949,0
7,89,3099,0
8,102,2983,0
9,114,2993,0
10,127,3040,0
6,77,3088,0
13,165,3084,0
14,177,3107,0
11,140,3153,0
12,152,3109,0
4,52,3219,0
15,1,3199,0
1,15,3251,0
5,65,3107,0
3,40,3178,0
2,27,3197,0
7,90,3045,0
8,103,3117,0
9,115,3147,0
10,128,3122,0
6,78,3139,0
13,166,3162,0
14,178,3113,0
11,141,3038,0
12,153,3184,0
4,53,3135,0
15,2,3167,0
1,16,3062,0
5,66,3165,0
3,41,3093,0
2,28,3125,0
7,91,3054,0
8,104,3113,0
9,116,3141,0
10,129,3183,0
6,79,3188,0
13,167,3187,0
14,179,3165,0
11,142,3181,0
12,154,3185,0
4,54,3176,0
15,3,3125,0
1,17,3087,0
5,67,3160,0
3,42,3191,0
2,29,3203,0
7,92,3216,0
8,105,3187,0
9,117,3183,0
10,130,3092,0
6,80,3149,0
13,168,3098,0
14,180,3041,0
11,143,3118,0
12,155,3075,0
4,55,3072,0
15,4,3154,0
1,18,3137,0
5,68,3050,0
3,43,3080,0
2,30,3028,0
7,93,3090,0
8,106,3027,0
9,118,3093,0
10,131,3148,0
6,81,3070,0
13,169,3102,0
14,181,3084,0
11,144,3078,0
12,156,3076,0
4,56,3037,0
15,5,2965,0
1,19,3158,0
5,69,3093,0
3,44,3061,0
2,31,3111,0
7,94,3005,0
8,107,3093,0
9,119,3059,0
10,132,3106,0
6,82,3052,0
13,170,3055,0
14,182,3038,0
11,145,3094,0
12,157,3088,0
4,57,3109,0
